tripName,Family,Sports,Art,Entertainment,History,Adventure
"Full-day Memphis, Saqqara and Dahshour",0.75,0.05,0.4,0.55,0.95,0.15
El Sawy Culture Wheel,0.25,0.05,0.95,0.95,0.05,0.2
The Aerial Studio  Pole Fitness and Aerial Arts,0.2,0.95,0.75,0.6,0,0.7
Great Sphinx of Giza,0.8,0,0.65,0,1,0.05
Private transfer from-to Luxor Airport within Luxor area,0.8,0,0.2,0.6,0.4,0.4
Baleno,0.85,0,0.1,0.7,0.05,0.4
Blue Shadow Nile Cruise,0.85,0,0.2,0.9,0.3,0.85
"Private Tour To Egyptian Museum, Citadel, Coptic Cairo & Dinner Nile Cruise",0.8,0,0.85,0.6,1,0.3
EL KHEMA,0.8,0,0.7,0.6,0.45,0.3
Genco specialty coffee,0.9,0,0.45,0.75,0.3,0.25
Aswan Philae Temple & Motorboat Tour to Nubian Village,0.7,0,0.6,0.6,0.95,0.5
Salama Color Canyon and Dahab Day Tour Adventure from Sharm,0.2,0.25,0,0.55,0,0.65
Shawish Restaurant,0.6,0,0.3,0.6,0.2,0.3
Spectra Restaurant  Cafe,0.8,0,0.6,0.75,0.4,0.4
Marsa Alam: Sea and Desert Camel Riding Tour,0.4,0.1,0,0.4,0,0.7
Opal club,0.3,0.15,0.35,0.85,0.2,0.3
Cairo Pyramids Quad Bike Adventure & Optional Camel Ride,0.3,0.5,0,0.55,0,0.65
Brazillian Coffee Stores,0.8,0,0.4,0.6,0.35,0.3
Disco cash cairo by Magnum Nights,0.6,0.05,0.35,0.85,0.2,0.25
Star Gazing-ATV Quad Bike-Camel Ride -Dinner With Show From Sharm,0.35,0,0,0.7,0,0.3
Hurghada Star Stargazing Desert Adventure by Jeep & Dinner,0.2,0,0,0.85,0,0.75
Hurghada Desert Quad Bike Camel Ride with Optional GoPro,0.05,0.6,0,0.65,0,0.65
مركز شباب ابشاق,0.7,0.9,0.2,0.8,0.3,0.6
نادي الشمس الرياضي بأسوان,0.9,1,0.4,0.75,0.35,0.65
Ml3bultras,0.2,1,0.15,0.8,0.1,0.6
Youth Bagour Sports,0.2,1,0.35,0.65,0.1,0.8
Customs Club,0.85,1,0.25,0.75,0.2,0.75
Menyet Samanoud Stadium,0.15,1,0.15,0.7,0.15,0.55
Baleno,0.5,0,0,1,0,0
Mansheya Club,0.4,1,0.2,0.7,0.2,0.55
Blue Shadow Nile Cruise,1,0,0,1,0.3,0.2
كفر سندوة,0.4,0.1,0.75,0.7,0.55,0.45
Private transfer from-to Luxor Airport within Luxor area,0.5,0,1,1,1,0
"Private Tour To Egyptian Museum, Citadel, Coptic Cairo & Dinner Nile Cruise",0.6,0,0.6,1,1,0
اكادمية جول لكرة القدم,0.15,1,0.05,0.55,0,0.3
Aswan Philae Temple & Motorboat Tour to Nubian Village,0.5,0,0.7,1,1,0
Al Fashn football stadium,0.2,1,0.1,0.7,0.15,0.4
Ghazl El Mahala Stadium,0.25,1,0.45,0.7,0.5,0.6
إستاد مطاي الرياضي,0.1,1,0.1,0.3,0.25,0.35
Dekerness Club,0.3,1,0,0.65,0,0.2
Seasons Country Club,0.8,0.9,0.2,0.5,0,0.2
The Aerial Studio  Pole Fitness and Aerial Arts,0,0.2,0,0.35,0,0
"Giza Pyramids, Museum of Civilization and Old Cairo, Bazaar",0.4,0,0.85,0.5,1,0.5
Luxor Deluxe Sunrise Hot Air Balloon,0.15,0,0,0.9,0,1
"Hurghada Sunset Quad Bike, Camel w/ Opt Stargazing and BBQ",0.85,0.9,0,1,0.05,1
Star Gazing-ATV Quad Bike-Camel Ride -Dinner With Show From Sharm,0.65,0.2,0,0.85,0,0.8
Luxor Hot Air Balloon over ancient relics,0.15,0.1,0,0.85,0,0.95
Alexandria Bibliotheca,0.8,0,0.7,0.6,1,0
Mahgoub Ceramic Giza,0,0,0,0.25,0,0
كورنيش بنها الفلل,0,0,0,0,0,0
"Hurghada : Desert Quad, Bedouin Village, and Camel Ride Tour",0.1,0.5,0,0.5,0,0.6
"Hurghada Sea & Desert Horse Tour, Stargazing, Dinner & Show",0,0.75,0,0.35,0,0.9
"Tour to Museum, Citadel, Old Cairo Quad Bike and Sound & Light Show",0,0.5,0,0.85,0,0.7
كورنيش بنها الفلل,0,0,0,0,0,0
Cairo Private Photo Session with a Local Photographer,0,0,0.05,0.4,0,0
Hurghada Luxury VIP Hammam & Spa with Transfer & Drink,0,0,0,0.1,0,0.05
Cairo Local Market Guided Tour with Tuk-tuk Ride & Lunch,0,0,0,0.05,0,0
6 Hours Quad Biking Trip from Three Pools snorkeling site,0,0.5,0,1,0,1
Quad Bike Trip to Wadi Gunai from Dahab,0.25,0.7,0,0.9,0,0.95
"Desert Safari - Baharia Oasis, White desert, and Black desert Tour",0,0,0.9,0.7,0.9,0.95
Super Desert Safar,0.25,0,0,1,0,1
"4 Days Safari Camping Bahariya Oasis, Black and White Desert",0.6,0,0,0.9,0,0.9
"El Fayoum, Wadi El-Hitan & Wadi El-Rayan Day Trip from Cairo",0,0,0.85,1,0,0.45
Maadi Yacht Club,0.45,0,0,0.7,0,0.85
قاعة حورس VIP,0,0,0,0,0,0
المركز الدولي للصيد والغطس,0,0.2,0,0.05,0,0.05
سقارة كانترى كلوب Sakkara country club,0.7,0.1,0,0.25,0,0.2
Teachers Club,0,0,0,0,0,0
Alexandria Shooting Club,0,0.8,0,0.9,0,0.95
Egyptian Shooting Club  Katameya,0.85,0.85,0,1,0,0.7
Hurghada Catamaran Sailing to Dolphin House with Snorkeling,0.95,0,0,1,0,1
Cairo Night club,0.25,0,0,0.8,0,0.3
"Full Day Hula Hula Island Sea trip, Water Sports, Lunch- Hurghada",1,0.6,0,1,0,0.5
بن الصالح,0,0,0,0,0,0
كوره كافيه Koracafe,0.55,0.3,0,0.25,0,0
Walkers,0.8,0,0,0.3,0,0
Nile cruise 3 nights -4 days Aswan to Luxor,0.8,0,0.45,0.7,0,0.75
"Boat Party With Dinner, Show and Belly dancer In Sharm el Sheikh",0,0,0,0.8,0,0
9 Days Egypt itinerary Cairo Nile Cruise Red Sea,0.3,0,0,0.9,0,0.9
Day Tour to Old Cairo visit Ben Ezra Synagogue,0.55,0,0,0.55,0.9,0.35
Light & Sound Show at Abu Simbel Temple,0.7,0,0,0.5,0.9,0
Helicopter Tour to Explore Cairo and Giza Skyline Experience,0.5,0,0,1,0,1
cheap trip : Tour to Abu Simbel Temple,0.65,0,0.5,0.8,1,0.5
2-Day Ancient Egypt Tour with Pyramids and Museums,0.6,0,0.4,0.75,1,1
Day Tour To Dahshur Pyramids Memphis & Sakkara,0,0,0,0.4,0.9,0.45
Abu Simble Day Tour From Cairo,0,0,0,0.4,0.9,0.5
بن موكا,0.15,0,0,0.6,0,0
Nobles Art Gallery,0.25,0,1,0.6,0.5,0.2
Monument to the Unknown Soldier,0,0,0.5,0.4,0.95,0
9 Days Egypt itinerary Cairo Nile Cruise Red Sea,1,0,0.5,1,0.8,0.6
"Full Body Massage One Hour with Jacuzzi, Sauna, Transfer-Hurghada",0.5,0,0,0.3,0,0
Snorkeling Day Trip in Hurghada,0.5,1,0,1,0,1
Amazing Luxor East and West Bank Guided Tour with Lunch From Luxor Airport/Hotel,1,0,0.8,0.5,1,0.45
Sound and light show with Dinner with Pyramids view Roof Top Restaurant,1,0,0.55,0.85,0.8,0
"Private Coptic Cairo Cave , Hanging Church ST Simon monastery",0.65,0,0.85,0.4,0.75,0.1
Alexandria Horse Carriage Tour,0.55,0.1,0,0.75,0.4,0.4
Amazing Nile Cruise 7 Nights From Luxor to Aswan and Back To luxor Again,0.75,0.3,0.5,0.8,0.95,0.8
"Private Tour to Giza Pyramids, Camel Ride, ATV Quad Bike & Shopping Tour",0.6,0.5,0.05,0.85,0.85,0.65
Ras Mohammed National Park Half Day Tour by Bus From Sharm,0.85,0,0.25,0.75,0.8,0.25
"Luxor: 4-Night Nile cruise , Hot Air balloon , west bank , abu simbel",0.9,0,0.25,0.95,1,0.3
pyramids and muesem with an Egyptologist in 8 hours,0.95,0.25,0.4,0.9,1,1
المركز الدولي للصيد والغطس,0,0.7,0,0.3,0,0.1
Yacht Club of Egypt,0.2,0,0,1,0,0.6
Maadi Yacht Club,0.5,0,0,1,0,0.3
Hurghada Marina,1,0,0,0.5,0,0
Nubia yacht,0.5,0,0,1,0,0.2
قاعة حورس VIP,1,0,0,0.5,0,0
Giza Pyramids Ticket office,0.9,0,0,0.9,1,0
Cairo Egyptian Museum Entry Tickets with Pickup & Drop-off,0.8,0,0,0.8,1,0
"Hurghada Makadi Water World Ticket, Lunch, & Hotel Transfer",0.8,0,0,0.8,0,0
PYRAMIDS OF GIZA & SPHINX,0.7,0,0,0.6,1,0.4
Hurghada Dolphin World Private Swimming with Pickup,0.7,0,0,1,0,0.5
AL Ittihadiya Palace,0,0,0.7,0,0,0
Kom ElNadura,0,0,0,0,1,0
Mummification Museum,0,0,0,0,1,0
Nubian Museum,0,0,0,0,1,0
Alexandria National Museum,0,0,0,0,1,0
Giza Necropolis,0,0,0,0,1,0
Monument to the Unknown Soldier,0,0,0,0,1,0
Kobet afendina,0,0,0,0,1,0
Fatimid Cemetery,0,0,0,0,1,0
Luxor Museum,0,0,0,0,1,0
GrecoRoman Museum,0,0,0,0,1,0
Luxor Temple,0,0,0,0,1,0
Drinkies  درينكيز,0,0,0,0.55,0,0
Bombamaymuna بومبا وميمونة,0.7,0,0,0.25,0,0
خير زمان  مدكور,0.4,0,0,0,0,0
On The Run  النزهه,0.5,0,0,0.3,0,0
White Store,0.5,0,0,0,0,0
LC Waikiki Stores Dokki,0.45,0,0,0.2,0,0
Arafa  عرفة,0.45,0,0,0.1,0,0
Darwish Cotton Store in Aswan,0.45,0,0,0,0,0
Lc Waikiki,0.45,0,0,0.05,0,0
Cottonil Aswan,0.45,0,0,0,0,0
Twins Store,0.35,0,0,0,0,0
Brand House,0.4,0,0,0,0,0
2-Hour Full-Day Private Tour in Giza Pyramids in Desert,0.8,0.4,0.15,0.95,0.95,0.7
Unfinished Obelisk,0.75,0.15,0.6,0.6,0.9,0.75
Zeinab Khatoon,0.6,0,0.7,0.6,0.9,0.55
Valley Temple of Khafre,0.8,0,0.55,0.65,1,0.6
Saad Zaghloul Statue,0.75,0,0.65,0.7,0.95,0.3
Ramesseum,0.65,0,0.8,0.6,1,0.5
ممشى ديليسبس,1,0.3,0.4,0.7,0.75,0.35
Pyramids of Queens,0.9,0,0.8,0.8,1,0.35
Pyramid of Khafre,0.8,0.1,0.8,0.7,1,0.5
Elephantine Island Pyramid,0.6,0.05,0.6,0.6,1,0.4
Bab alFutuh,0.7,0,0.8,0.5,1,0.5
Tempio di Khnum,0.5,0,0.4,0.6,1,0.6
Habib Pasha ElSakakini Palace,0.7,0,0.8,0.7,1,0.5
Cairo: Egyptian Museum 4-Hour Private Tour with Transfer,0.45,0.45,0.5,0.5,0.5,0.55
Luxor Day tour from Cairo by Flight,0.5,0,0,0.75,1,0.5
Premium Luxor Guided Tour from Hurghada and Hot Air Balloon Experience,0.5,0.4,0,1,0.5,1
Sky Diving Over Egypt Timeless Wonders,0,0.75,0,0.2,0,1
Alexandria Archeology and Architecture Shore Excursion,0.3,0,0.15,0.35,0.6,0.3
Aswan Philae Temple & Motorboat Tour to Nubian Village,0.65,0.1,0.2,0.25,0.25,0.55
Private transfer from-to Luxor Airport within Luxor area,0,0,1,0.7,1,0.5
Hurghada Cairo and Giza Highlights Full-Day Tour,0.7,0,0.15,0.5,0,0.45
Baleno,0.5,0,0,0.5,0.5,0
Alexandria El Alamein Day Tour,0.6,0,0,0.6,0,0.5
Blue Shadow Nile Cruise,0,0.15,0.3,0.75,0,0.75
Cairo Ancient Egypt City Highlights Day Trip with Lunch,0.5,0,0.2,0.6,0.6,0.5
"Private Tour To Egyptian Museum, Citadel, Coptic Cairo & Dinner Nile Cruise",0.75,0,0.75,0.3,1,0.2
"Hurghada Safari Jeep, Quad, Buggy, Camel Ride & BBQ Dinner",0.4,0.1,0,0.6,0,0.7
Cairo International Stadium,0,1,0,1,0,0
EL KHEMA,0,0,0.3,0.5,0,0.5
Hurghada Luxor Private Day Trip with Temple Tickets,0.5,0,0,0.35,0.4,0.45
"Cairo Pyramids of Giza, Sphinx, Saqqara & Memphis Tour",0.5,0,0.1,0.25,0.8,0.5
"Cairo Giza Pyramids, Memphis, and Sakkara Day Trip",0.2,0,0,0.25,0.7,0.6
Cairo Giza Pyramids & Museum of Egyptian Civilization Tour,0.6,0,0.35,0.5,0.7,0.7
Cairo Alexandria Private Full-Day Discovery Tour,0.6,0,0.3,0.5,0.15,0.65
Cairo Great Pyramids of Giza and Egyptian Museum Tour,0.45,0,0.2,0.6,0.4,0.55
محميه وادى دجلة,0.25,0.35,0.2,0.8,0.35,0.75
Paradise Island Hurghada,0.7,0.3,0.2,0.85,0.2,0.45
Cairo Nile dinner cruise and Show,1,0,0,0.15,0,0
"Horse Ride, Egyptian Show & Dinner - Sharm El Sheikh",0.6,0.4,0,0.55,0,0.25
Camel riding and Bedouin dinner and Stargazer from Sharm el Sheikh,1,0,0,0.3,0,0.3
Nile Dinner Cruise and Khan El Khalili Market,1,0,0,0.2,0.55,0
Shooting Club Portsaid,0,1,0,1,0,1
Egyptian Shooting Club  Katameya,0,1,0,1,0,0
Greek club,1,1,0,1,0,0
نادي رمسيس الرياضي,0,1,0,1,0,0
KIMA club Russian club,0,1,0,1,0,0
Alexandria Shooting Club,0,1,0,1,0,1
East Police Officers Club in Sohag,1,1,0,1,0,0
The Clubhouse Uptown Cairo Emaar,0,1,0,1,0,0
Teachers Club,1,1,0,1,0,0
SPORTING CASTLE CLUB,1,1,0,0,0,0
سقارة كانترى كلوب Sakkara country club,0,1,0,1,0,0
المركز الدولي للصيد والغطس,0,1,0,1,0,0
Nile cruise on the Nile with dinner,1,0,0,1,0,0
Hurghada Catamaran Sailing to Dolphin House with Snorkeling,1,0,0,1,0,0.75
Private Egyptian Food Cooking Class in Giza,1,0,0,1,0,0
Post Office  Port Said 1,0.95,0,0,0,0,0.1
زجاج سيارات د جريش فرع الاقصر dr greiche automotive glass luxor branch,1,0,0,0,0,0
رشيد,0,0,0,1,0,0
Darwish Cotton Store in Aswan,1,0,0,0,0,0
BeNeshty,1,0,0,0,0,0.35
Brand House,1,0,0,0,0,0
El Dammah Theatre مسرح الضمة,0.45,0,0.15,0.5,0,0.35
NAS Trends  City Stars Mall,0,0,0,1,0,0
Rai Club Nile Dragon Boat,0,0,0.15,0.6,0,0.75
Akay Garments,1,0,0,0,0,0
Egyptian Center for Culture and Arts  Makan,0.35,0,0,0.35,0,0
مسرح النافورة دار الاوبرا المصرية,0.65,0,0,0.45,0,0.3
White Store,0,0,0,1,0,0
Kato Dool Nubian House,0,0,0.35,0.7,0.3,0.6
Jaz Casa Del Mar Beach,0.8,0,0,0.75,0,0.75
Or,0,0,0,1,0,0
Hilton Alexandria Green Plaza,0.65,0,0.1,0.7,0,0.55
شركة الصغير القبلية لتجارة الجملة و القطاعي,1,0,0,0,0,0
Evan Resort  Hotel,0.7,0,0.2,0.65,0,0.5
Riv,1,0,0,0,0,0
Almasa Capital,0.4,0,0.55,0.35,0,0.6
Grand Palace,0.6,0,0,0.35,0.5,0.2
Blue Beach Club,0.8,0,0,0.5,0,0.65
Meraki Resort Adults Only,0,0,0,0.55,0,0.75
Giza Pyramids Ticket office,0,0,0,0,1,1
Emirates Lounge,1,0,0,1,0,0
Club 707,0,0,0,1,0,0
السلطانة,0,0,0,1,0,0
B2 clublounge,0,0,0,1,0,0
Peacock Club ديسكو بي كوك,0,0,0,1,0,0
ECHO Prive,0,0,0,1,0,0
SPINE Cairo,0,0,0,1,0,0
Spade Lounge,0,0,0,1,0,0
Jacks Club,0,0,0,1,0,0
Private Tour to El-Moez Street and Cairo tower with Dinner,1,0,1,1,1,0.25
Cairo Jazz Club,0,0,0,0.65,0,0.45
King club,0,0,0,0.7,0,0.35
Undergroud Disco,0,0,0,1,0,0
STAGE Cairo club  ديسكو ستيدج,0,0,0,1,0,0
Cairo: Pub Crawl and Speakeasy Bar Tour with 2 Free Drinks,1,0,0,0.6,0,0
Full day Medieval Cairo Private Tour,1,0,0,0,1,0
"Private Trip Egyptian Museum, Old Cairo & Bazaar",1,0,1,0.45,0.95,0.45
Small Group Explore Downtown Cairo Tour,1,0,1,0.85,1,1
Giza Pyramids Tour With Lunch and Felucca Ride on the Nile,1,0,1,1,1,1
ElRegina Club Nile Tower,0,0,0,0.55,0,0
From Hurghada: 2-Day Trip to Cairo by Plane,1,0,0,1,0,1
نادى التجديف,0,0.35,0,0.65,0,0.45
Elements Club  Lounge,0,0,0,0.7,0,0
"Private Tour To Egyptian Museum, Citadel, Coptic Cairo & Dinner Nile Cruise",1,0,0,1,1,1
El Leil,0,0,0,0.85,0,0.3
Africana Club,0,0,0,0.65,0,0
Night club Disco Khalijy and after party,0,0,0,0.95,0,0
Private Egyptian House Dinner,1,0,0,0.9,0,0
Topaz Luxury Club,0,0,0,0.7,0,0
"Cairo Citadel, Old Cairo and Khan El Khalili: Private Tour",1,0,1,1,1,1
Private Fishing Overnight with Equipment and Dinner Hurghada,1,0,0,0.6,0,0.35
Stargazing Desert Jeep Excursion with Dinner in Hurghada,0.7,0,0,0,0,0.45
Cairo at Night River Nile Dinner Cruise on Nile River,0,0,0,0,0,0
"Experience A Magical Night, NAZ Cabaret Show & Dinner - Hurghada",0,0,0,0,0,0
Nile Cruise (AswanÂ toÂ Luxor),1,0,0,0.55,0,0.2
Cairo by Night and Dinner Cruise,1,0,0,0.5,0,0.1
Stunning Private Overnight Fishing with Gear & Dinner - Hurghada,0.75,0.3,0,0.5,0,0.25
Private tour to Sufi dancing and Tanoura Show in Cairo,0.95,0,0,0.75,0,0
An Unforgettable Night With NAZ Cabaret Show & Transfer -Hurghada,0,0,0,0,0,0
Nile Dinner Cruise and Khan El Khalili Market,0,0,0,0,0,0
Cairo Nile dinner cruise and Show,1,0,0,0.35,0,0
"Orange bay Island Parasailing, Snorkeling with Lunch - Hurghada",1,0.8,0,0.35,0,0.65
Morning Desert Safari Trip By Quad Bike from Marsa Alam,0.4,0.4,0.3,0.95,0,0.95
"Abu Dabbab Wonder, Snorkeling with Beautiful Turtles - Hurghada",0.7,0.35,1,1,0.1,1
White Island Catamaran and Snorkeling Cruise,0.35,0.3,1,1,0,1
"Turkish Bath Fascinating Therapy, Sauna, Steam bath With transfer-Sharm Elsheikh",0.25,0,0,0.25,0,0
Hurghada:Catamaran Conquest 2-Hour Semi-Submarine and Snorkeling,0.5,0.35,0.6,1,0.3,1
"7-Days Tour Cairo,Aswan,luxor, and Nile Cruise Camel Ride, with Domestic Flights",0.65,0.25,1,1,0.85,0.6
Sunset Super Moto Safari with Dinner & Show in Marsa Alam,0.2,0.4,0.2,1,0,0.85
Magawish Island Snorkeling Adventure with Lunch - Hurghada,0.75,0,0.35,1,0.25,0.75
Thrilling Panorama Semi-Submarine & snorkeling - Hurghada,0.25,0.2,0.5,1,0,1
Amazing Parasailing Trip in Hurghada Including Transfers,0.6,0.5,0.25,1,0,1
Private Sound and Light Show and Luxor City Tour by Carriage (3 * 1),1,0.05,1,0.75,1,0.45
1 Hour Guided Horse Riding Activity in Sharm El Sheikh,0.2,0.6,0.5,0.85,0.1,1
"Cairo: Private Pyramids, Museum & Bazaar Tour with Options",0,0,0,0,0,0
Religious Sights Private Full-Day Tour with Lunch,0,0,0,0,0.95,0
Xo Club Nightclub Cairo,0,0,0,0.75,0,0
King club,0,0,0,0.75,0,0
B2 clublounge,0,0,0,0.8,0,0
Night life,0,0,0,0.8,0,0
STAGE Cairo club  ديسكو ستيدج,0,0,0,0.75,0,0
Topaz Luxury Club,0,0,0,0.7,0,0
ElRegina Club Nile Tower,0,0,0,0.8,0,0
El Leil,0,0,0,0.8,0,0
El Sawy Culture Wheel,0.7,0.05,1,0.7,0.25,0.1
Coptic Orthodox Center المركز الثقافي القبطي الأرثوذكسي,0.65,0.05,0.9,0.4,0.9,0.05
Ramsis Square,0.75,0.05,0.3,0.2,0.5,0.15
Ahmed Orabi Museum,0.7,0,0.85,0.5,1,0
Taha Hussein Museum,0.75,0,0.65,0.5,0.75,0.5
Mostafa Kamel Museum,0.8,0.05,0.55,0.2,1,0.05
Pharaonic Papyrus Museum,0.8,0.05,1,0.05,1,0.05
Manasterly Bridge,0.75,0.1,0.2,0.2,0.65,0.1
Mahmoud Mukhtar Museum,0.55,0,0.65,0.55,0.7,0
Rashid National Museum,0.8,0.1,0.8,0.2,1,0.1
Rashid National Museum,0.55,0,0.85,0.5,0.7,0
Hurghada Red Sea & Desert Horse Riding Tour with Swimming,0.5,0.6,0,1,0,0.3
Hurghada Makadi Bay ATV Tour,1,0.4,0,1,0,0
Grand Egyptian Museum GEM,0.8,0,0.8,0.3,1,0.15
"jeep safari adventure with camel ride , dinner and show",1,0,0,1,0,0.5
Sunrise Safari by ATV Quad Bike and Transfer - Sharm El Sheikh,1,0.2,0.5,1,0,0.8
Egyptian Air Force Museum متحف القوات الجوية,0.8,0,0,0.2,1,0.1
Madrasa And Dome Of Sultan AlNassir Mohammed Ibn Qalawun,0.4,0,0.4,0.45,0.55,0
Egyptian Air Force Museum متحف القوات الجوية,0.4,0,0.15,0.3,0.5,0
Animalia,0.8,0.6,0,0.9,0,1
"Half Day Tour: El Moez Street, Al Azhar Park and Bazar",0.65,0,0.7,0.4,0.75,0
Museum of Modern Art in Port Said,0.4,0,0.85,0.4,0.7,0
The Agricultural Museum,0.8,0,0.1,0.35,0.65,0.1
Hurghada Antiquity Museum Entrance Ticket,0.75,0,0.5,0.45,0.45,0
Red Sea Aquarium,1,0,0,1,0,0
Museum of Islamic Art in Cairo,0.8,0,1,0.25,1,0
Full-day Makadi water world experience,0.4,0.25,0.05,1,0.05,1
Private transfer from-to Luxor Airport within Luxor area,0,0,0,0,0,0
Baleno,0,0,0,0,0,0
Blue Shadow Nile Cruise,0,0,0,0,0,0
Alexandria Aquarium,1,0,0,1,0,0
مسجد مالك الملك بالمقطم,0.2,0,0.15,0.15,0.4,0
Hurghada Grand Aquarium,1,0,0,1,0,1
ElKobba Palace,0.3,0,0.55,0.2,0.65,0
مقام سيدي عبد الوهاب العفيفي,0.15,0,0,0.1,0.75,0
"4 Days Safari Camping Bahariya Oasis, Black and White Desert",1,0,0,1,0,1
Salama Color Canyon and Dahab Day Tour Adventure from Sharm,0.85,0,0,1,0,0.8
Carter House,0.15,0,0,0.3,0.35,0
Bedouin Safari and Star Gazing Tour from Sharm El Sheikh,1,0,0,1,0,1
كوره كافيه Koracafe,0.9,0,0,0.9,0,0
Drinkies  درينكيز,0,0,0,0.25,0,0
بن الصالح,0.95,0,0,0.9,0,0
Horse Riding & ATV Quad Bike Safari Adventure - Sharm El Sheikh,0.4,0.3,0,1,0,1
6 Hours Quad Biking Trip from Three Pools snorkeling site,1,0,0,1,0,1
Lavazza Caf,0.95,0,0,0.95,0,0
Mahgoub Ceramic Giza,0,0,0,0,0,0
