tripName,Family,Sports,Art,Entertainment,History,Adventure
واحة الرامى,1,0,0,0.95,0,0
Ahimsa Egypt,0,0,0.35,0.35,0,0
Sinbad cafe,0.9,0,0,0.9,0,0
Parasailing Adventure in Sharm el Sheikh,0.6,0.5,0,1,0,1
Mummification Museum,0,0,0,0,1,0
Cairo Buffet Dinner Cruise with Folkloric Show,0.2,0,0,0.55,0,0.15
Tea Garden,0.9,0,0,0.95,0,0
Sharm El Sheikh: Guided City Sightseeing Tour,0.15,0,0,0.6,0,0.35
Luxor Morning Hot Air Balloon Ride,1,0,0,1,0,1
Hurghada Turkish Bath and Full Body Massage with Transport,0,0,0,0.4,0,0
Cairo Camel or Horse Ride Tour Around Giza Pyramids,0.5,1,0,1,1,0.3
Cairo Sound and light show with Dinner with Pyramids view,0.35,0,0.45,0.4,0,0
El Gouna: Hurghada Turkish Bath and Massage,0,0,0,0.6,0,0
Hurghada Hammam Spa & Massage Experience with Transfers,0,0,0,0.45,0,0
Sharm El Sheikh: Relaxation Hammam Spa with Massage,0,0,0,0.6,0,0
"Discover the Best of Sharm : Quad, Camel, Buggy, Dinner and Shows",0.7,0,0,1,0,1
Hurghada Cleopatra Spa and Massage,0,0,0,0.5,0,0
Sharm El-Sheikh: Cafe & restaurant Included Shisha & drink,0.2,0,0,0.6,0,0
Crepiano,0,0,0,0,0,0
camel ride with sunset and star watching,0.7,0,0.2,1,0,0.2
Rai Club Nile Dragon Boat,0,0,0.3,0.8,0,0
مسرح النافورة دار الاوبرا المصرية,0.25,0,0.8,0.75,0,0
Ehab Barbers Shop,0,0,0,0,0,0
HB salon,0,0,0,0,0,0
Enjoy Sailing Nile Cruise From Aswan To Luxor For 2 nights With Luxor Tours,0.1,0,0.2,1,0.65,1
Camping in the White & Black Deserts (Bahariya Oasis) & Cairo Private transfer,0,0,0.4,0.8,0,1
GP Sports Complex,0.8,0.8,0.15,0.85,0.15,0.7
International Terminal in Port Said,0,0.85,0.3,0.5,0.95,0.7
El Dammah Theatre مسرح الضمة,0,0,0.5,0.5,0,0
نادي بلازا,0.9,0,0,0.45,0.35,0
Egyptian Center for Culture and Arts  Makan,0,0,0.65,0.6,0.85,0
The Cave Church,1,0,0,0,1,0
Port Said Stadium Youth Center,0.2,0.85,0.8,0.65,0,0.05
مسجد الشامي,1,0,0,0,1,0
6 Hours Quad Biking Trip from Three Pools snorkeling site,0,0.6,0,0.75,0,1
Sulayman Agha alSilahdar Mosque,1,0,0,0,1,0
Sultan AlAshraf Qaytbay Mosque and Mausoleum,1,0,0,0,1,0
El Nour Mosque,1,0,0,0,1,0
Manar AIslam Mosque,1,0,0,0,1,0
Hurghada Sporting Club,0.45,0.75,0.15,0.8,0.8,0.7
Quad Bike Trip to Wadi Gunai from Dahab,0,0.25,0,0.8,0.2,1
Alexandria Naval Unknown Soldier Memorial,1,0,0,0,1,0
Alexandria Bibliotheca,1,0,0,0,1,0
Monument to the Unknown Soldier,1,0,0,0,1,0
Great Sphinx of Giza,1,0,0,0,1,0
Fatimid Cemetery,1,0,0,0,1,0
Kobet afendina,1,0,0,0,1,0
Youth Center Village Eateries,0,0.95,0,0.8,0.85,0.35
"Desert Safari - Baharia Oasis, White desert, and Black desert Tour",0,0,0.4,0.75,0,1
Smouha Sporting Club,0.85,0.7,0.45,0.55,0,0
Super Desert Safar,0,0,0,0.75,0.1,1
"4 Days Safari Camping Bahariya Oasis, Black and White Desert",0,0,0,0.85,0,0.9
Smash Sporting Club,0.3,0.75,0,0.45,0,0
"El Fayoum, Wadi El-Hitan & Wadi El-Rayan Day Trip from Cairo",0.45,0,0.1,0.35,0.55,0.8
مركز شباب ابيس العاشرة,0,0.95,0,0.95,0,0
Shooting Club Dokki,0.4,0.55,0.65,0.45,0,0
Sports arena beach,0,0.85,0,0,0,0.75
Indoor hall for sports,0,0.5,0,0.55,0,0
Alexandria Universitys Stadium,0,1,0,0.9,0,0.45
Aswan Stadium,0.15,1,0,0.65,0,0.7
Al Masry Club Stadium,0,1,0,1,0,0
Cairo International Stadium,0,1,0,1,0,0
Sand buggy afternoon experience in the Sahara of Hurghada,0,0.85,0,0.8,0,0.95
Sohag Stadium,0,0.95,0,0.4,0.15,0
استاد المنزلة لكرة القدم,0,0,0,0,0,0
Overnight Tour to Cairo's Highlights from Hurghada,0.45,0,0.65,0.7,0.5,0.25
Rabat Club and the lights of ships,0,1,0,0.7,0,0.5
Minyat Al Nasr Sports Stadium,0,0.9,0,0.85,0,0.3
Ras Mohamed pirates adventure from Sharm El Sheikh,0.2,0.35,0,0.75,0,0.65
Zagazig University Stadium,0,0.9,0,0.5,0,0
Alexandria Stadium,0,0.7,0,0.45,0,0
Morning Sand Buggy Experience Plus Bedouin Tea Tasting in Sharm Desert,0,0.4,0,0.75,0,0.75
GP Sports Complex,0,0.95,0,0.85,0,0
Indoor hall for sports,0,0.55,0,0.7,0,0
Naqb National Park in a 4x4 with camel ride and dinner,0.75,0.25,0,0.75,0.4,0.95
Quad Safari and Buggy Tour plus Water Sports from Sharm El Sheikh,0.25,0.7,0,0.85,0,0.75
Golfing at Madinat Makadi Golf Resort Hurghada (In-house guests),0,0.95,0,0.6,0,0
Red Sea diving experiences in Hurghada with transfer,0,0.8,0,0.85,0,1
Glass-bottom boat tour from Sharm El Sheikh,1,0.1,0,0.85,0,0.85
Private_Full_Day Boat Trip Snorkeling and Island Exploration,0.1,0.7,0.5,0.2,0,0.95
Amazing (4 ) Days with Cruise From Aswan to Luxor Including Tours,0.4,0.3,0.7,0.55,0.8,0.8
Hurghada Tour by Night with the Grand Aquarium and Dinner,0.7,0.5,0,0.85,0,0.3
Evening Sharm El-Sheikh walking tour with dinner,0.9,0,0,0.45,0,0
Quseir,0.35,0,0,0.45,0,0.45
"Nile Cruise 5-Days Luxor, Aswan,Tours,Abu Simbel,Hot Air Balloon by Flight",0.3,0.3,0.7,0.6,0.75,0.6
Morning Desert Safari Trip By Quad Bike from Marsa Alam,0.35,0.55,0,0.4,0,0.8
"Abu Dabbab Wonder, Snorkeling with Beautiful Turtles - Hurghada",0.2,0.75,0,0.85,0,1
"Turkish Bath Fascinating Therapy, Sauna, Steam bath With transfer-Sharm Elsheikh",0,0,0,0.8,0,0
Private Budget 3 days with 2 Evenings including Free airport transfers,0.2,0.35,0.1,0.35,0,0.35
Hurghada:Catamaran Conquest 2-Hour Semi-Submarine and Snorkeling,0.1,0.85,0,0.75,0,1
"7-Days Tour Cairo,Aswan,luxor, and Nile Cruise Camel Ride, with Domestic Flights",0.4,0,0,0.85,0.7,1
White Island Catamaran and Snorkeling Cruise,0.1,0.9,0,0.65,0,1
Sunset Super Moto Safari with Dinner & Show in Marsa Alam,0.8,0,0.4,0.75,0.5,1
Magawish Island Snorkeling Adventure with Lunch - Hurghada,0.15,0.75,0.15,0.9,0,0.9
Thrilling Panorama Semi-Submarine & snorkeling - Hurghada,0,1,0,0.85,0,1
Amazing Parasailing Trip in Hurghada Including Transfers,0,0.95,0,0.8,0,1
"Parasailing Ride - Sharm El Sheikh, Single or Double, Private Car",0.3,0.75,0.5,0.6,0,1
Overnight Trip to Luxor from Cairo including Flight& highlight tours,0.25,0.15,0.4,0.35,0.8,0.55
1 Hour Guided Horse Riding Activity in Sharm El Sheikh,0.6,0.8,0,0.65,0,0.2
Private Sound and Light Show and Luxor City Tour by Carriage (3 * 1),0.55,0,0.85,0.9,0.9,0.2
"Nile Cruise: Luxor to Aswan, 3 Days 2 Nights",0.35,0.2,0.2,0.05,0,0
"Half Day Tour To Giza Pyramids, Sphinx Include Camel Ride & Lunch",0.2,0.15,0.15,0.1,0.5,0.2
Private boat snorkelling from hurghada,0.4,0.6,0.2,0.3,0,0.6
Ancient Wonders: Half-Day Luxor & Karnak Temple Tour,0.4,0.15,0.7,0.35,0.8,0.4
Swimming With Turtles at Marsa Mubarak from Marsa Alam,0.5,0.7,0.5,0.75,0,0.75
Private_Full_Day Boat Trip Snorkeling and Island Exploration,0.35,0.25,0,0.95,0,0.95
Amazing (4 ) Days with Cruise From Aswan to Luxor Including Tours,0.55,0,0.25,0.7,0.9,0.7
مركز شباب كوم حمادة,0.05,0.9,0.05,0.9,0,0.1
"Nile Cruise 5-Days Luxor, Aswan,Tours,Abu Simbel,Hot Air Balloon by Flight",0.65,0,0,0.9,0.2,0.6
Marsa Mubarak Snorkeling with Turtles and Dugong from Hurghada,0.5,0.7,0.3,0.45,0,0.7
Private Budget 3 days with 2 Evenings including Free airport transfers,0.7,0,0.65,0.55,0.9,0.6
Overnight Trip to Luxor from Cairo including Flight& highlight tours,0.55,0,0.7,0.7,0.95,0.55
"Parasailing Ride - Sharm El Sheikh, Single or Double, Private Car",0.25,0.75,0,0.95,0,1
"Nile Cruise: Luxor to Aswan, 3 Days 2 Nights",0.8,0,0,0.6,0,0.65
"Half Day Tour To Giza Pyramids, Sphinx Include Camel Ride & Lunch",0.7,0,0.85,0.7,1,0.75
Ancient Wonders: Half-Day Luxor & Karnak Temple Tour,0.75,0,0.9,0.65,1,0.55
Private boat snorkelling from hurghada,0.25,0.75,0,0.8,0,0.9
Marsa Mubarak Snorkeling with Turtles and Dugong from Hurghada,0.2,0.8,0,0.85,0,0.9
Swimming With Turtles at Marsa Mubarak from Marsa Alam,0.25,0.85,0,0.85,0,0.85
Jaz Casa Del Mar Beach,0.4,0,0,1,0,0
Kato Dool Nubian House,0.4,0,0,1,0,0
Hilton Alexandria Green Plaza,0.6,0,0,0.85,0,0
Evan Resort  Hotel,0.6,0,0,0.85,0,0
Almasa Capital,0.5,0,0,0.85,0,0
Grand Palace,0.5,0,0,0.7,0,0
Il Campo,0.45,0,0,0.9,0,0.45
New Eagles Aqua Park Resort,0.45,0,0,0.85,0,0.4
مسرح النافورة دار الاوبرا المصرية,0.4,0,0,0.85,0,0.05
Egyptian Center for Culture and Arts  Makan,0.4,0,0.4,0.9,0,0.1
Rai Club Nile Dragon Boat,0.35,0,0,0.95,0,0.45
El Dammah Theatre مسرح الضمة,0.3,0,0.15,0.65,0,0.05
Tahrir Square Obelisk مسلة ميدان التحرير,0.2,0,0.55,0.75,0.8,0
Syrian Art,0.2,0,0.65,0.1,0.4,0
"10 Day Egypt Explorer Cairo, Alexandria, Nile Cruise & Hurghada",0,0,0,1,0,1
Flight Trip To Abu Simbel From Cairo,0,0,0,1,0,1
Private 2 Days Trip to Cairo and Alexandra from Luxor by flight,0,0,0,1,0,0.85
Private Tour: 7 Nights Pyramids & Nile Cruise +Flights from Cairo,0,0,0,1,0.4,1
"Luxurious Tour to Giza Pyramids, Khafre's Valley Temple & Sphinx",0,0,0,1,0.3,0.85
"Private Day from Cairo to Luxor by plane with hotel,balloon,west,east and l...",0,0,0,1,0,1
"Amazing 6 Days Nile Cruise luxor,Aswan,abu simbel with Train Tickets from C...",0,0,0,1,0.35,1
From Cairo: 5-Day Egypt Highlights Private Tour with Flights,0,0,0,1,0,1
Premium Luxor Guided Tour from Hurghada and Hot Air Balloon Experience,0,0,0,1,0,1
8 Day Tour in Nile Cruise Luxor and Aswan,0,0,0,1,0,1
"10 Day Egypt Explorer Cairo, Alexandria, Nile Cruise & Hurghada",0,0,0,1,0,1
Flight Trip To Abu Simbel From Cairo,0,0,0,1,0.25,1
Cairo Tour from Marsa Alam by Flight -  Private Tour,0,0,0,1,0,1
"Egypt: Private 5-Day Tour, Nile Cruise, Flights, Balloon",0,0,0,1,0,1
Bombamaymuna بومبا وميمونة,1,0,0,0,0,0
خير زمان  مدكور,0.4,0,0,0,0,0
LC Waikiki Stores Dokki,0.55,0,0,0.25,0,0
Hurghada Antiquity Museum Entrance Ticket,0.85,0.35,0.45,0.9,0.3,0.85
Salouga and Ghazal Nature Reseve,0.6,0.1,0.6,0.5,0.6,0.8
Snorkeling cruise with lunch and drinks from Dahab,0.8,0.8,0.2,0.8,0.1,0.75
Cairo day trip from Hurghada with an Egyptologist and flights,0.8,0.2,0.5,0.6,1,0.75
Overnight Experience of Siwa Oasis with the Salt Lakes from Cairo,0.6,0.6,0.4,0.65,0.2,0.7
Sea trip and submarine on Liberty Catamaran from Sharm el-Sheikh,0.6,0.2,0.1,0.9,0,0.6
GrecoRoman Museum,0.7,0,0.9,0,1,0.6
Luxor Museum,0.8,0,0.9,0,1,0.5
Luxor Temple,0.75,0,0.8,0,1,0.6
Fatimid Cemetery,0.2,0,0,0,1,0
"Full-Day Memphis, Sakkara, Giza Pyramids and Sphinx Tour from Cairo",0.55,0.15,0.6,0.4,1,0.8
Nubian Museum,0.6,0,0.7,0,1,0.8
Wycieczki Hurghada,0.25,0.25,0.25,1,0.2,1
Alexandria National Museum,0.65,0,0.55,0,0.9,0.2
Giza Necropolis,0.75,0,0.9,0,1,0.6
Monument to the Unknown Soldier,0.5,0,0.4,0,0.7,0.1
Mummification Museum,0.8,0,0.85,0,1,0.5
Kobet afendina,0.7,0,0.8,0,0.8,0.15
Kom el Dikka,0.7,0,0.85,0,1,0.3
Kom ElNadura,0.65,0,0.6,0,0.85,0.15
قاعة حورس VIP,0.75,0,0,0.2,0,0
Barber House صالون حلاقة,0,0,0.05,0,0,0
فتحي الصغير صالون,0,0,0,0,0,0
MohamedRamy Barbershop,0,0,0.05,0,0,0
Homam  barber فرع سموحة,0,0,0,0,0,0
Mohamed azab,0,0,0,0,0,0
Yacht Club of Egypt,0.65,0.1,0,0.3,0,0.3
Hurghada Marina,0.85,0.15,0,0.7,0,0.25
Maadi Yacht Club,0.75,0,0,0.25,0,0.1
المركز الدولي للصيد والغطس,0.2,0.65,0,0.15,0,0.35
بن الصالح,0,0,0,0,0,0
Nubia yacht,0.85,0,0,0.45,0,0.7
Shads Mens Salon,0,0,0,0,0,0
المركز الدولي للصيد والغطس,0.5,1,0,0,0,0
كوره كافيه Koracafe,0,0,0,0.1,0,0
Lavazza Caf,0.4,0,0,0,0,0
MOMO Lounge,0.5,0,0,0.05,0,0
Central Perk Cafe Alexandria,0.75,0,0,0.5,0,0
Walkers,0.55,0,0,0.2,0,0
Freska Cafe,0.55,0,0,0.2,0,0
Vasko,0.5,0,0,0.15,0,0
Benha plaza,0.5,0,0,0.1,0,0
Castello caf  more,0.55,0,0,0.15,0,0
Elmashrabia Roof Cafe,0.45,0,0,0.25,0,0
Maadi Yacht Club,0.85,0,0,0.4,0,0.7
Yacht Club of Egypt,0.8,0,0,0.4,0,0.65
Hurghada Marina,0.8,0,0,0.7,0,0.6
قاعة حورس VIP,0.9,0,0,0.2,0,0
"Hurghada Luxor Tour with Valley of Kings, Karnak & Tut Tomb",0.65,0,0.5,0.6,0.7,1
Nubia yacht,0.8,0,0,0.45,0,0.7
Cairo Alexandria Private Full-Day Discovery Tour,0.6,0,0.35,0.65,0.8,1
"Cairo National Museum, Egyptian Museum & Giza Pyramids Tour",0.7,0,0.7,0.75,1,1
Cairo Guided Day Trip to Africa Safari Park with Lunch,0.8,0,0,0.7,0.45,0.65
Sharm El Sheikh: Mount Sinai & St. Catherine Monastery Tour,0.4,0,0.5,0.75,0.65,1
Alexandria Archeology and Architecture Shore Excursion,0.75,0,0.7,0.6,1,0.9
Cairo Pyramids & Museum Layover Tour with Airport Transfer,0.8,0,0.7,0.7,1,0.9
Bounce Bowling,0.85,0.9,0,1,0,0
Masria Plaza Swimming Pool,0.35,1,0,0.8,0,0
Hooliganseg,1,0,0,0.8,0,0
Papas Bar Hambra,0,0,0,0,0,0
Lucas Pub  Grub,0.9,1,0,0.85,0,0
Air Gym Ladies  Al Haram,0,1,0,0.5,0,0
Heroes Gym,0,1,0,0.6,0,0
Gorilla Gym  غوريلا چيم,0,1,0,0.6,0,0
THE GYM,0,1,0,0.65,0,0
مركز شباب كوم حمادة,0.25,1,0,0.9,0,0.25
Youth Center Ahmed Orabi,0.2,1,0,0.95,0,0.2
Youth Center Dlhans,0.4,0.95,0,0.6,0,0
camel ride with sunset and star watching,0.35,0.7,0.55,0.65,0.65,0.4
Luxor West Bank Hot Air Balloon Ride with Hotel Pickup,0.3,0.2,0.5,0.5,0.6,0.6
Sunrise Safari by ATV Quad Bike and Transfer - Sharm El Sheikh,0,0,0,0,0,0
كوره كافيه Koracafe,0.45,0,0,0,0,0
المركز الدولي للصيد والغطس,0,0.7,0,0,0,0
The Aerial Studio  Pole Fitness and Aerial Arts,0.05,0.6,0,0.1,0.05,0.05
Egyptian Fishing Club in Alexandria,0.35,0.6,0,0.05,0.05,0.4
Snap Fitness,0.15,0.6,0.05,0.05,0.35,0.45
EMS Easy Fit Alexandria,0.1,0.45,0.05,0.4,0.05,0.15
El Mabarra Educational Hospital,0.5,0,0.15,0,0.1,0.05
Balance Gym,0.25,0.6,0.05,0.05,0,0.1
EMS Body Fit Egypt  Masr Al Jadidah Branch,0.05,0.5,0.55,0,0,0
Victory Camp Fitness Club,0.2,0.9,0.1,0.1,0.05,0.4
Olympia,0.4,0.7,0.05,0.2,0.45,0.3
Adrenaline  Fitness Facilities,0.3,0.55,0.05,0.05,0.1,0.05
مركز المساج فندق أركان,0.55,0.35,0,0.55,0,0
STEP GYM  SPA,0.1,0.35,0,0.15,0,0.1
Hurghada Luxury VIP Hammam & Spa with Transfer & Drink,0.1,0.1,0,0.9,0,0.2
Cairo Private Photo Session with a Local Photographer,1,0,0.35,0.75,0,0.5
Cairo Local Market Guided Tour with Tuk-tuk Ride & Lunch,0.9,0,0,0.95,0.8,0.45
Ramses Wissa Wassef Art Center,0.1,0,1,0.7,0,0
Mamluk Jewellery and Bazaar مجوهرات مملوك,0.4,0,1,0,0,0
Egy Craft,0,0,0.8,0.3,0,0
Townhouse Gallery,0,0,1,0.6,0,0
Wekalet El Ghoury,0.5,0,0,0.5,0,0.45
Zamalek Art Gallery,0,0,0.8,0.5,0.2,0.05
Nobles Art Gallery,0,0,0.7,0.3,0,0.1
Selkhet Papyrus,0.4,0,0.8,0.55,0.2,0.2
Lotus Papyrus Luxor,0.3,0,0.95,0.3,0.15,0.2
Alexandria Bibliotheca,0.5,0,0.6,0.75,0.95,0.15
Ramsis Square,0.45,0,0,0,0.85,0
El Nour Mosque,0,0,0.65,0,0.65,0
Manar AIslam Mosque,0.3,0,0.75,0,0.8,0
Abed Mosque,0.4,0,0.5,0,0.6,0
Maryam Mosque,0.15,0,0.65,0,0.3,0
The Red Monastery,0,0,0.7,0.25,0.4,0
Mosque Amuallaoyen,0,0,0.45,0.2,0.8,0
Sacred Heart Church,0.25,0,0.5,0.15,1,0
Youssef El Sahaby Masjed,0.2,0,0.75,0,0.7,0
El Attarine mosque,0,0,0.6,0.15,0.85,0
St Georges church,0.15,0,1,0,1,0
Brazillian Coffee Stores,0,0,0,0,0,0
"From Alexandria Port : National Museum, Citadel & Bazaar",0.8,0,0.15,0,1,0.1
5 Days Trip To Siwa and Bahariya Oasis,0.8,0,0,1,0.05,1
10 Day Tour Egypt glory Cairo pyramids Alexandria and cruise,0.75,0,0,0.7,0.45,0.7
"Cairo Layover Tours Visit Giza Pyramids, Memphis, Sakkara",0.75,0,0,0.6,1,0.7
Cairo: 3-Day Highlight Tours,0.8,0,0,0.4,0.8,0.25
Private Tour Giza Pyramids Sphinx Lunch Camel and Pyramid Inside,0.75,0,0,0.6,1,0.65
Alexandria Guided Historical Sights live Tour guide,0.6,0,0.6,0.7,0.75,0.85
Half Day Tour to Giza Pyramids & 1-Hour Felucca Ride,1,0,1,1,1,0.75
"Cairo Great Pyramids, Egyptian Museum, Bazaar Layover Tour",1,0,1,1,1,0.4
Day tour to Ramses Temple in Abu Simbel,1,0,1,0.8,1,0.45
Visit Cairo From Sharm El Sheikh by flight,0.5,0,0.4,1,0,0.8
East and west banks private day tour included Balloon Ride,0.65,0.2,0.5,0.8,0,0.8
"Morning Trip: Desert Safari Riding a Speed Quad Bike, Pickup",0.35,0.6,0,1,0,0.75
Hurghada Private Car Rental with Driver for 12 Hours,1,0,0,0.35,0,0
"Valley of The Kings, Hatshepsut Temple and Colossi of Memnon",0.4,0,0.45,0.45,0.95,0
Luxor East and West Banks Private Tour with Guide and Lunch,0.85,0,0.5,0.6,0.9,0.4
Best Private Day Trip To Abu Simbel From Aswan,0.7,0,0.7,1,1,1
5 #NAME?,0.45,0.5,0.45,1,0.35,1
Rai Club Nile Dragon Boat,0.5,0,0.15,0.7,0,0.15
مسرح النافورة دار الاوبرا المصرية,0.3,0,1,0.7,0,0.2
El Dammah Theatre مسرح الضمة,0.65,0,1,0.65,0,0.25
Egyptian Center for Culture and Arts  Makan,0.45,0,1,0.7,0.65,0.65
2 Night Sailing Nile Cruise Including Highlights Tours In Luxor From Aswan,1,0,0.6,1,1,0.7
Private_Full_Day Boat Trip Snorkeling and Island Exploration,0.6,0,0,1,0,1
مركز شباب كوم حمادة,0,1,0,0,0,0
Youth Center Ahmed Orabi,0,1,0,0,0,0
Youth Center Dlhans,0,0.85,0.25,0,0,0
Dekerness Club,0,1,0,0.85,0,0
Seasons Country Club,0,0,0,1,0,0
blue,0,0,0,1,0,0
Half-Day Hurghada Stargazing Tour with Pick-Up,0,0,0,0,0,1
3 Hours Quad Bike Safari Adventure in Marsa Alam,0.4,0,0,0,0,1
Private Tour Felucca Sailing in the Nile in Cairo,0.55,0,0,0.7,0.35,1
Private Budget 3 days with 2 Evenings including Free airport transfers,0,0,0,0.35,0.3,0.6
Overnight Trip to Luxor from Cairo including Flight& highlight tours,0.25,0,0,0.7,1,0.6
"Parasailing Ride - Sharm El Sheikh, Single or Double, Private Car",0.3,0.3,0,0.6,0,1
Alexandria Universitys Stadium,0,1,0,0.45,0,0
Aswan Stadium,0,1,0,0,0,0
Rabat Club and the lights of ships,0,1,0,0,0,0
Minyat Al Nasr Sports Stadium,0,1,0,0,0,0
استاد المنزلة لكرة القدم,0,1,0,0,0,0
Alexandria Stadium,0,1,0,0,0,0
Coptic Orthodox Center المركز الثقافي القبطي الأرثوذكسي,0.7,0,0,0,0.3,0
El Sawy Culture Wheel,0.1,0,0.75,0.85,0,0
Cairo: 3-Day Highlight Tours,0.85,0.15,0.15,0.65,0.7,0.3
Private Tour Giza Pyramids Sphinx Lunch Camel and Pyramid Inside,0.7,0,0,0.4,1,0.55
"Cairo Layover Tours Visit Giza Pyramids, Memphis, Sakkara",0.55,0,0,0.5,1,0.7
10 Day Tour Egypt glory Cairo pyramids Alexandria and cruise,0.7,0,0,0.45,0.55,0.85
5 Days Trip To Siwa and Bahariya Oasis,0.6,0.1,0,0.65,0.1,0.8
"Private Tour: Giza Pyramids, Sphinx, Egyptian Museum, Khan el-Khalili Bazaa...",0.6,0,0,0.8,0.95,0.45
Giza Pyramids by Camel Private Guided Tour,0.65,0,0,0.65,1,0.65
